Sens0.1_fld	Sens1_fld	Sens10_fld	Sens1FP_fld	Secs	Mb	Method
0.0014	-	-	0.0015	5	359.0	reseek-veryfast
0.0105	-	-	0.0105	13	347.0	devreseek-veryfast
0.0900	0.1075	-	0.1030	127	35.0	blastp
0.1050	0.2240	0.4094	0.3892	78	1823.0	foldseek
0.1152	0.2371	0.4175	0.4464	-	-	TMalign
0.1597	0.2572	0.4100	0.4249	794	420.0	reseek-verysensitive
0.1597	0.2572	0.4100	0.4249	-	-	devreseek-verysensitive
0.1646	0.2636	0.3933	0.3652	46	308.0	reseek-fast
0.1646	0.2636	-	0.3279	47	307.0	devreseek-fast
0.1658	0.2667	0.4143	0.3968	93	339.0	reseek-sensitive
0.1658	0.2667	0.4143	0.3538	855	411.0	devreseek-sensitive
